record_id,province,tourism_city,destination_type,season,weather_condition,tourism_event_type,transport_mode_priority,tourist_arrivals,domestic_tourists,international_tourists,average_stay_days,repeat_visit_rate,hotel_occupancy_rate,available_hotel_rooms,homestay_availability_index,high_speed_rail_access_score,metro_access_score,tourist_bus_capacity,airport_connectivity_score,traffic_congestion_index,public_facility_usage_rate,smart_tourism_service_score,public_toilet_availability_score,tourist_information_center_score,public_safety_score,tourist_satisfaction_score,social_media_sentiment_score,online_search_trend_index,online_review_volume,e_ticket_booking_rate,regional_income_index,tourism_revenue_yuan,local_business_revenue_yuan,employment_support_index,tourism_gdp_contribution_rate,infrastructure_availability_score,transport_service_score,accommodation_capacity_score,promotion_investment_score,heritage_site_capacity_score,operational_cost_yuan,resource_utilization_rate,decision_response_time_min,crowd_risk_index,environmental_pressure_index,economic_impact_score,tourism_demand_score,resource_pressure_score,demand_category,resource_allocation_decision,public_management_action
2487,Guangxi,Xi_an,Ethnic_Cultural_Tourism_Area,Summer,Pleasant,Mountain_Adventure_Event,High_Speed_Rail,106771,84997,21774,6.46,29.91,36.44,1881,54.87,59.81,17.88,59816,53.29,85.81,68.43,92.35,86.53,34.53,97.9,3.5,0.779,29.07,31763,54.11,95.71,6541620.4,1229388.83,82.61,13.66,42.94,32.44,34.12,58.34,25.08,7435260.15,63.34,175.04,97.95,92.68,44.8,59.73,77.02,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
2488,Tibet,Shanghai,Coastal_Tourism_Zone,Winter,Pleasant,Temple_Fair,Airport_Shuttle,114571,82585,31986,3.15,59.36,93.41,869,57.71,82.42,52.93,21251,44.7,60.35,49.88,83.79,68.45,88.26,40.68,3.24,0.482,82.51,28221,24.97,63.95,8920127.74,6841904.48,38.63,28.5,32.38,60.45,96.92,42.25,23.06,3559526.97,72.51,66.89,92.68,80.62,60.88,74.58,76.62,High,Risk_Control_Allocation,Control_Crowd_Risk
2489,Yunnan,Guilin,Urban_Commercial_Tourism_Hub,Summer,Rainy,No_Major_Event,Ferry_Service,59897,54018,5879,4.64,57.21,50.94,3613,93.01,81.51,99.95,1855,96.44,61.95,56.42,38.19,95.49,63.27,85.4,4.42,0.274,44.98,29680,59.62,124.76,9245011.09,547274.56,45.49,20.08,48.34,67.09,75.99,77.59,53.43,1350248.31,71.32,102.94,14.84,88.52,42.5,46.81,51.43,Moderate,Infrastructure_Focused,Increase_Public_Facilities
2490,Shandong,Chongqing,Eco_Tourism_Zone,Winter,Hot,Food_Tourism_Festival,Metro_Service,118326,89686,28640,6.99,10.06,76.53,5264,61.78,27.85,56.86,63620,82.09,57.82,66.1,73.13,27.74,40.72,90.97,4.43,0.601,15.16,49302,95.67,93.71,14899867.1,3302831.47,64.47,20.32,98.12,54,61.75,14.61,78.14,2569243.07,75.61,14.67,43.75,77.32,68.19,66.97,66.45,High,Balanced_Allocation,Balanced_Public_Management
2491,Henan,Urumqi,Urban_Commercial_Tourism_Hub,National_Day_Golden_Week,Cold,Dragon_Boat_Event,Private_Car,84871,73854,11017,7.5,8.31,70.86,4245,72.27,64.42,99.43,49980,80.14,88.23,93.99,92.75,65.1,45.2,46.68,4.14,0.679,21.27,1281,57.58,96.73,6067017.09,5467568.78,69.78,32.34,33.97,30.05,40.37,35.63,42.61,6059565.69,56.18,150.1,78.01,21.57,59.73,56.02,74.46,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
2492,Hubei,Guilin,Eco_Tourism_Zone,National_Day_Golden_Week,Humid,Mountain_Adventure_Event,Ferry_Service,84941,78130,6811,1.64,52.06,74.47,3431,78.03,57.56,70.79,35031,35.64,69.65,56.46,65.25,83.95,56.88,48.01,4.64,0.783,6.77,47864,11.43,68.3,14490051.9,5800330.13,39.35,19.94,76.51,42.3,75.18,37.88,50.43,10498815.7,69.38,178.48,61.88,71.47,67.74,55.13,66.66,Moderate,Balanced_Allocation,Balanced_Public_Management
2493,Jiangsu,Nanchang,Coastal_Tourism_Zone,Dragon_Boat_Festival,Pleasant,Mountain_Adventure_Event,Ferry_Service,81236,76372,4864,6.05,14.38,55.76,9452,82.96,43.38,46.48,15996,49.34,36.56,54.3,41.56,72.91,54.9,40.26,4.4,0.172,47.78,47403,64.9,86.31,7900963.1,4821451.41,89.29,17.51,82.86,82.45,54.47,98.43,62.82,2246132.62,42.89,22,13.83,55.29,61.16,48.73,44.38,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
2494,Chongqing,Nanchang,Ethnic_Cultural_Tourism_Area,National_Day_Golden_Week,Humid,Coastal_Leisure_Event,Airport_Shuttle,68091,58137,9954,1.95,19.44,63.77,1005,31.88,29.04,24.03,41047,96.4,45.63,48.93,23.18,75.96,86.75,44.34,2.79,0.92,71.64,47413,62.36,125.6,12503803.39,1582171.15,80.8,26.53,41.93,57.4,42.19,93.53,77.55,4100819.47,32.26,159.04,89.34,20.54,64.38,64.32,56.4,High,Risk_Control_Allocation,Control_Crowd_Risk
2495,Jiangsu,Sanya,Historical_Cultural_City,Labour_Day_Holiday,Cold,Cultural_Heritage_Exhibition,Metro_Service,93961,85428,8533,1.14,61.93,82.94,10975,23.81,71.34,75.78,7629,24.38,60.91,54.7,63.8,52.15,79.61,53.26,3.17,0.639,62.85,29749,40.52,78.24,3242045.06,3317546.81,64.18,28.86,94.79,54.69,64.6,57.23,88.02,11476562.46,75.5,137.59,85.08,89.59,44.37,68.98,73.65,High,Risk_Control_Allocation,Control_Crowd_Risk
2496,Guangdong,Guangzhou,Coastal_Tourism_Zone,Autumn,Hot,No_Major_Event,Metro_Service,119184,98820,20364,1.55,28.58,60.04,3764,46.83,56.73,76.86,26098,56.54,40.7,48.81,33.92,89.81,76.21,51.51,4.22,0.365,76.71,44681,33.38,114.87,3578077.11,1170978.56,86.49,28.58,50.18,64.89,98.64,17.95,46.9,11233385.32,94.52,75.68,14.24,74.5,44.66,65.07,50.43,High,Promotion_Focused,Increase_Promotion_Investment
2497,Jiangsu,Nanchang,Urban_Commercial_Tourism_Hub,Labour_Day_Holiday,Clear,Lantern_Festival,Ferry_Service,90590,75882,14708,5.03,55.84,53.23,5534,27.68,26.67,23.88,31499,39.46,35.06,45.4,79.25,35.55,82.41,45.3,5,0.871,18.52,44245,53.72,54.21,4195458.28,5707229.55,62.01,29.65,71.48,89.38,66.96,37.74,77.89,7092682.33,41.84,174.23,10.51,52.86,53.01,60.71,41.67,High,Balanced_Allocation,Balanced_Public_Management
2498,Xinjiang,Guiyang,Historical_Cultural_City,Labour_Day_Holiday,Snowy,Business_Expo,Shared_Bicycle,92489,78728,13761,3.64,17.39,36.99,2265,78.6,98.7,81.27,15050,69.94,89.77,62.48,59.61,88.48,78.75,67.09,2.61,0.556,46.03,16912,86.53,108.6,3033016.97,4392491.41,37.86,18.3,54.24,93.27,55.49,45.9,39.54,1167978.04,97.75,96.61,47.79,48.56,36.06,57.2,60.2,Moderate,Infrastructure_Focused,Increase_Public_Facilities
2499,Guizhou,Chongqing,Rural_Tourism_Village,Spring,Rainy,Dragon_Boat_Event,Private_Car,54410,47926,6484,1.83,46.77,65.46,10958,88.46,99.65,15.62,58391,58.58,96.64,93.35,78.99,32.53,35.71,87.51,4.2,0.908,87.27,33357,44.29,110.2,8100616.23,5397281.02,37.42,14.78,87.59,94.87,43.98,65.64,59.02,8961230.23,51.92,146.43,75.41,73.7,49.16,63.86,78.24,High,Balanced_Allocation,Balanced_Public_Management
2500,Guizhou,Nanchang,Ethnic_Cultural_Tourism_Area,Winter,Cloudy,Coastal_Leisure_Event,Airport_Shuttle,102560,90332,12228,4.32,43.75,79.45,5753,67.28,93.8,21.32,55926,84.6,88.26,58.56,56.45,83.6,35.5,99.38,3.57,0.623,44.18,14502,97.54,76.36,3091191.14,2507241.6,70.3,19.41,49.39,91.43,82.2,16.73,60.12,8397674.66,89.84,25.73,13.14,18.39,39.52,71.48,57.05,High,Infrastructure_Focused,Increase_Public_Facilities
2501,Henan,Kunming,Urban_Commercial_Tourism_Hub,Autumn,Hot,Coastal_Leisure_Event,Tourist_Bus,100703,91487,9216,4.56,49.92,53.48,590,47.38,48.19,86.45,16148,21.18,64.21,84.81,21.13,58.6,65.72,80.15,3.22,0.267,82.29,13163,92.78,95.25,12604792.11,2742053.83,60.8,3.78,92.09,93.45,65.49,24.29,39.26,8059900.37,95.37,64.9,71.23,38.51,53.74,66.05,66.69,High,Promotion_Focused,Increase_Promotion_Investment
2502,Fujian,Beijing,Ethnic_Cultural_Tourism_Area,Labour_Day_Holiday,Cloudy,Business_Expo,Metro_Service,52994,46002,6992,6.51,24.63,90.4,2758,44.11,76.43,61.27,28256,22.87,92.08,74.78,31.86,28.89,68.87,54.44,2.46,0.749,34.12,20496,40.61,56.57,7608547.45,628669.9,26.12,32.92,52.23,50.73,99.76,45.24,72.49,11433678.07,67.62,44.83,12.42,23.89,39.2,54.49,59.41,Moderate,Transport_Focused,Improve_Transport_Service
2503,Beijing,Guilin,Eco_Tourism_Zone,Labour_Day_Holiday,Humid,Cultural_Heritage_Exhibition,Ferry_Service,96977,90366,6611,5.65,15.81,42.41,8444,61.28,85.1,65.75,53535,54.53,70.33,90.13,64.8,46.51,42.37,70.26,2.64,0.532,97.43,29532,79.39,76.27,12721766.99,5340596.94,42,16.07,58.13,44.51,85.73,69.28,62.57,11805014.01,31.68,128.46,75.76,76.41,61.45,66.25,72.13,High,Public_Facility_Focused,Balanced_Public_Management
2504,Chongqing,Guiyang,Coastal_Tourism_Zone,Chinese_New_Year,Clear,Coastal_Leisure_Event,Shared_Bicycle,85241,75882,9359,4.26,12.35,58.89,3255,90.04,36.77,86.62,20270,89.57,95.22,31.54,55.86,61,78.93,49.1,2.68,0.473,70.02,34790,73.78,120.67,3082940.38,165918.49,22.28,32.93,45.15,35.51,56.49,81.55,47.42,8800150.05,32.43,122.47,20.81,19.38,26.4,59.99,49.54,Moderate,Transport_Focused,Improve_Transport_Service
2505,Zhejiang,Xiamen,Ethnic_Cultural_Tourism_Area,Winter,Cold,Business_Expo,High_Speed_Rail,56188,52982,3206,3.27,46.83,82.33,9852,32.41,61.32,26.71,35378,58.76,56.9,30.67,35.01,70.16,73.66,30.24,3.9,0.156,55.7,19444,90.86,46.03,13990075.43,8451014.57,34.61,34.81,68.53,64.88,75.34,83.36,87.54,3629065.8,48.09,66.36,64.11,11.67,78.7,53.42,51.24,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
2506,Shandong,Xi_an,Urban_Commercial_Tourism_Hub,Summer,Clear,No_Major_Event,Tourist_Bus,7801,7021,780,1.01,45.78,97.05,807,83.81,80.33,69.93,7001,87.62,24.62,48.44,89.19,23.52,45.95,63.78,4.6,0.172,63.83,48099,61.91,120.43,11847117.6,1097534.09,37.3,30.76,90.63,41.81,44.08,79.92,55.17,7048148.41,74.65,146.25,63.62,39.1,52.32,42.58,50.15,Moderate,Accommodation_Focused,Expand_Accommodation_Capacity
2507,Yunnan,Suzhou,Coastal_Tourism_Zone,Spring,Cloudy,Mountain_Adventure_Event,Shared_Bicycle,79490,71325,8165,6.82,9,59.18,3454,38.05,47.36,73.06,9547,90.97,71.23,66.24,75.83,86.31,66.48,88.17,4.52,0.777,34.82,25185,17.08,66.02,3486997.94,6347311.41,37.45,8.66,78.56,90.63,89.84,80.84,83.83,5273150.78,66.76,111.66,36.49,63.4,38.59,52.51,59.68,Moderate,Balanced_Allocation,Balanced_Public_Management
2508,Beijing,Luoyang,Pilgrimage_Tourism_Area,Autumn,Cold,No_Major_Event,High_Speed_Rail,27523,25499,2024,2.87,42.16,82.44,5608,37.64,32.34,30.06,41290,65.71,71.8,51.44,63.32,84.98,48.5,88.34,4.66,0.615,71.24,46266,12.71,109.3,1694372.16,1752114.8,30.95,28.3,97.91,66.9,34.69,54.17,67.94,743199.52,53.14,112.17,64.25,83.99,27.88,48.83,64.71,Moderate,Balanced_Allocation,Balanced_Public_Management
2509,Xinjiang,Shenzhen,Urban_Commercial_Tourism_Hub,Autumn,Snowy,Coastal_Leisure_Event,Private_Car,16456,14438,2018,2.49,16.26,79.29,3196,34.89,66.27,66.38,50716,42.76,46.49,52.79,89.89,34.01,25.4,74.15,3.72,0.907,83.8,34516,80.1,75.75,6715384.12,250991.88,28.98,17.06,52.19,45.45,54.25,94.3,97.85,11876871.78,45.18,174.66,14.19,26.95,30.44,57.43,41.57,Moderate,Infrastructure_Focused,Increase_Public_Facilities
2510,Shanghai,Luoyang,Urban_Commercial_Tourism_Hub,Spring,Humid,Cultural_Heritage_Exhibition,Shared_Bicycle,56800,43343,13457,6.14,10.26,94.96,3630,32.05,55.81,90.07,3342,67.53,89.58,39.12,27.03,67.95,89.56,70.77,3.96,0.869,61.42,14061,42.86,48,8821509.78,3808403.03,78.04,25.55,65.95,57.66,72.97,47.59,36.25,7156176.75,98.52,72.33,9.45,33.83,60.89,61.87,53.52,High,Transport_Focused,Improve_Transport_Service
2511,Shaanxi,Urumqi,Pilgrimage_Tourism_Area,Dragon_Boat_Festival,Cold,Business_Expo,Ferry_Service,100470,74338,26132,1.5,37.5,67.07,10058,26.26,58.86,60.62,59169,35.21,11.21,64.97,55.29,83.65,95.13,94.51,2.58,0.636,26.14,15510,55.54,107.3,12394981.01,2961026.23,38.18,31.27,26.7,37.17,49.88,63.89,40.65,9011377.3,50.41,46.71,67.52,20.52,59.2,61.38,51.65,High,Infrastructure_Focused,Increase_Public_Facilities
2512,Fujian,Beijing,Pilgrimage_Tourism_Area,Winter,Snowy,Mountain_Adventure_Event,Metro_Service,33172,26398,6774,2.84,20.88,72.76,10791,91.11,87.08,56.08,50043,59.98,22.02,52.5,51.02,28.56,89.76,94.24,3.56,0.602,30.25,17621,78.33,124.79,9576766.88,8581585.22,39.55,2.83,35.11,57.21,99.86,70.2,53.46,9291062.9,40.05,18.74,66.03,38.58,57.2,46.57,48.6,Moderate,Infrastructure_Focused,Increase_Public_Facilities
2513,Yunnan,Hangzhou,Historical_Cultural_City,Summer,Cold,Cultural_Heritage_Exhibition,Metro_Service,37398,34236,3162,4.05,38.68,45.38,3898,28.68,55.44,96.53,52776,26.1,56.8,44.11,49.59,90.45,68.94,86.07,3.46,0.609,42.01,47336,72.42,59.59,8911135.57,1130605.92,47.8,6.53,42.03,84.01,27.36,75.6,57.41,6971813.9,71.27,160.13,92.07,86.91,38.5,45.54,60.31,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
2514,Xinjiang,Urumqi,Mountain_Scenic_Area,Chinese_New_Year,Clear,Cultural_Heritage_Exhibition,Private_Car,64862,47038,17824,4.09,48.88,52.06,8446,38.89,68.78,92.12,23101,30.46,39.81,37.09,39.6,51.1,85.44,67.29,3.72,0.547,30.07,19108,34.85,83.64,5794318.21,6666507.16,24.58,20.99,55.24,56,88.75,73.64,86.63,11241954.82,65.16,115.11,33.12,90.32,46.58,47.64,47.62,Moderate,Balanced_Allocation,Balanced_Public_Management
2515,Xinjiang,Chongqing,Ethnic_Cultural_Tourism_Area,Winter,Rainy,Dragon_Boat_Event,Metro_Service,47610,35993,11617,2.1,60.77,75.51,2825,82.64,90.9,50.88,28092,39.27,74.29,71.32,36.33,74.72,78.88,51.52,3.94,0.915,21.81,8414,79.44,91.33,11370536.5,3822809.67,62.89,33.66,80.68,58.29,83.51,62.73,54.83,7782834.62,64.07,8.52,86.21,93.99,66.34,58.26,75.2,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
2516,Shanghai,Chengdu,Ethnic_Cultural_Tourism_Area,Spring,Humid,Business_Expo,Shared_Bicycle,31562,23528,8034,1.28,27.47,70.84,10604,26.9,73.36,29.14,31520,51.55,86.12,74.05,22.88,35.04,68.34,85.3,3.13,0.95,86.73,5326,84.57,82.62,14639026.39,832849.57,74.89,24.94,34.27,59.72,55.77,36.3,75.82,10190279.33,60.81,39.37,86.76,62.07,65.17,62.27,72.22,High,Risk_Control_Allocation,Control_Crowd_Risk
2517,Sichuan,Lhasa,Historical_Cultural_City,Dragon_Boat_Festival,Hot,Lantern_Festival,Tourist_Bus,100039,72920,27119,4.29,32.09,63.52,8977,35.13,79.9,54.83,636,43.63,79.41,66.64,68.96,33.11,65.2,66.23,3.02,0.455,29.7,19221,78.37,74.89,11995478.21,2503897.55,99.98,18.2,72.51,42.15,88.9,72.57,32.27,581988.36,76.45,118.96,66.31,59.01,67.22,59.79,69.32,Moderate,Transport_Focused,Improve_Transport_Service
2518,Hubei,Kunming,Rural_Tourism_Village,Winter,Pleasant,Cultural_Heritage_Exhibition,Shared_Bicycle,75796,69313,6483,3.5,17.33,79.83,11483,38.39,73.27,42.54,9253,28.39,82.73,26.33,73.1,65.06,59.08,90.03,3.24,0.432,7.06,43388,96.28,78.3,12498266.39,4808246.65,61.94,16.88,46.17,38.98,70.82,11.8,56.06,4068956.96,61.37,92.18,80.63,31.03,64.76,53.24,62.35,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
2519,Sichuan,Xi_an,Eco_Tourism_Zone,Labour_Day_Holiday,Hot,Coastal_Leisure_Event,Tourist_Bus,14414,11345,3069,2.99,49.13,50.68,10154,72.02,53.81,43.02,25003,21.21,77.09,44.04,71.93,36.51,47.6,42.98,2.48,0.635,14.54,29283,16.96,85.82,2088134.95,4927228.14,24.76,8.83,61.83,43.2,58.51,99.72,43.59,6766291.49,60.3,122.27,20.42,18.84,28.28,32.11,40.89,Low,Risk_Control_Allocation,Control_Crowd_Risk
2520,Shanghai,Zhangjiajie,Rural_Tourism_Village,Winter,Hot,Dragon_Boat_Event,Shared_Bicycle,88033,78784,9249,2.89,54.91,79.75,5888,80.16,33.33,73.15,24836,40.33,38.99,64.73,36.47,79.91,34.61,46.28,2.4,0.892,41.41,38343,11.37,98.64,12352590.59,7102025.2,58.31,24.81,54.43,62.66,72.72,31.16,32.86,11423461.15,96.34,75.14,47.47,81.29,73.05,64.58,61.68,High,Infrastructure_Focused,Increase_Public_Facilities
2521,Beijing,Guiyang,Ethnic_Cultural_Tourism_Area,Dragon_Boat_Festival,Rainy,Coastal_Leisure_Event,Private_Car,15587,11753,3834,4.53,48.14,47.02,8544,74.21,53.9,53.21,6775,42.29,87.96,46.15,93.22,64.07,33.8,30.67,2.57,0.787,70.71,9186,14.97,72,13813080.73,8212186.59,37.68,14.93,82.79,55.37,27.84,52.7,29.64,9687531.9,94.34,22.02,97.85,78.35,70.44,43.19,65.56,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
2522,Shandong,Qingdao,Pilgrimage_Tourism_Area,Spring,Humid,Mountain_Adventure_Event,Shared_Bicycle,82464,67467,14997,1.15,33.24,66.66,2494,60.76,70.49,93.58,54934,37.55,23.49,90.04,53.56,45.71,30.15,72.32,3.12,0.881,63.86,36527,18.75,79.96,209471.13,7791132.7,53.31,14.95,59.08,37.09,94.09,92.36,39.13,7791631.62,40.92,32.35,17.18,28.44,41.44,63.23,48.43,High,Public_Facility_Focused,Balanced_Public_Management
2523,Jiangsu,Xi_an,Rural_Tourism_Village,Dragon_Boat_Festival,Cold,Mountain_Adventure_Event,Ferry_Service,15155,11335,3820,1.74,39.93,42.26,6613,99.7,27.16,55.37,5370,93.68,36.37,38.92,23.86,65.02,53,63.46,3.2,0.283,69.54,22166,72.33,72.55,5512847.99,3635300.37,42.17,4.18,47.74,91.79,99.49,18.78,66.73,3444133.04,63.1,123.87,27.61,33.61,35.18,38.04,33.48,Low,Infrastructure_Focused,Increase_Public_Facilities
2524,Shanghai,Luoyang,Historical_Cultural_City,Dragon_Boat_Festival,Cloudy,No_Major_Event,Airport_Shuttle,78430,56516,21914,3.28,20.54,68.1,7963,76.2,85.57,31.27,25185,31.37,92.44,49.92,76.49,50.09,58.08,63.03,4.95,0.66,19.69,2832,74.91,71.78,7685860.46,6459993.2,85.74,6.38,38.84,90.46,81.21,59.35,63.72,6807770.26,97.88,114.94,69.67,53.01,59.87,56.03,67.56,Moderate,Infrastructure_Focused,Increase_Public_Facilities
2525,Tibet,Kunming,Ethnic_Cultural_Tourism_Area,Spring,Cloudy,Cultural_Heritage_Exhibition,Ferry_Service,75908,65824,10084,4.36,49.92,87.57,10949,41.99,91.61,47.2,6131,35.2,35.75,41.81,41.08,41,47.75,60.9,3.66,0.674,49.44,46095,81.3,62.98,6584238.33,360004.33,44.82,23.24,48.34,85.83,54.07,32.05,32.95,536914.02,65.06,37.39,57.07,25.75,36.86,66.91,52.1,High,Accommodation_Focused,Expand_Accommodation_Capacity
2526,Shanghai,Beijing,Ethnic_Cultural_Tourism_Area,Dragon_Boat_Festival,Humid,Coastal_Leisure_Event,Metro_Service,37321,31179,6142,5.86,45.7,65.96,11570,88.63,27.36,43.72,36810,47.42,21.25,61.91,31.21,42.7,56.01,54.78,2.43,0.527,11.2,581,72.86,114.67,2116129.44,8216590.39,40.75,22.95,94.83,39.55,90.23,12.96,34.72,3989537.95,54.74,99.66,65.09,38.38,47.13,43.42,49.24,Moderate,Infrastructure_Focused,Increase_Public_Facilities
2527,Shandong,Sanya,Urban_Commercial_Tourism_Hub,Chinese_New_Year,Rainy,Lantern_Festival,Shared_Bicycle,55287,45334,9953,3.05,60.72,55.99,8593,63.1,66.7,66.43,38658,80.03,66.19,71.37,33.86,99.51,38.8,96.35,2.81,0.645,87.28,7703,46.78,101.88,7268260.89,7183143.84,64.82,7.5,40.94,30.56,51.57,57.79,35.05,1131324.09,85.64,105.67,36.17,22.19,56.12,59.01,52.09,Moderate,Promotion_Focused,Increase_Promotion_Investment
2528,Shanghai,Shanghai,Historical_Cultural_City,Spring,Humid,Dragon_Boat_Event,Shared_Bicycle,67709,50028,17681,5.67,40.36,43.83,4550,86.25,95.75,33.29,52154,20.36,56.59,66.74,75.44,84.82,36.56,61.76,4.73,0.285,34.35,7388,84.05,97.25,9081581.79,343066.32,84.72,9.75,94.15,74.91,62.41,19.9,58.35,11848448.12,35.52,15.15,73.25,36.63,47.22,47.08,57.24,Moderate,Balanced_Allocation,Balanced_Public_Management
2529,Tibet,Zhangjiajie,Pilgrimage_Tourism_Area,Spring,Pleasant,Cultural_Heritage_Exhibition,Ferry_Service,52527,45234,7293,3.71,50.71,57.97,10755,20.55,60.34,46.01,37299,84.71,40.53,97.61,54.36,64.2,71.57,70.06,4.94,0.155,19.12,44977,43.38,45.01,6169669.75,7976404.59,42.17,4.55,42.26,89.91,35.5,23.62,32.23,2825542.86,54.59,167.91,7.74,49.25,48.92,37.81,49.9,Low,Public_Facility_Focused,Balanced_Public_Management
2530,Tibet,Luoyang,Eco_Tourism_Zone,Spring,Cloudy,No_Major_Event,Tourist_Bus,95091,86266,8825,6.42,36.54,89.84,6322,80.8,90.58,71.2,54006,21.96,87.03,34.72,75.86,34.19,21.73,80.8,4.95,0.69,72.04,31717,16.17,106.28,5243832.16,7217653.94,65.86,5.72,55.17,29.37,52.9,92.71,28.07,5204923.29,65.13,147.77,59.9,49.45,51.04,68.43,66.36,High,Transport_Focused,Improve_Transport_Service
2531,Guizhou,Lhasa,Ethnic_Cultural_Tourism_Area,Labour_Day_Holiday,Humid,Temple_Fair,High_Speed_Rail,11895,8756,3139,4.36,55.61,60.03,8454,68.25,39.69,44.14,51858,56.7,33.55,49.14,83.25,79.69,65.49,34.59,3.07,0.224,67.8,24312,56.96,86.1,5837840.74,1609210.49,22.51,7.21,32.27,41.45,57.27,52.52,79.09,2131153.45,49.4,23.1,34.93,50.48,26.6,38.8,41.38,Low,Risk_Control_Allocation,Control_Crowd_Risk
2532,Yunnan,Shanghai,Eco_Tourism_Zone,Labour_Day_Holiday,Hot,Mountain_Adventure_Event,Metro_Service,57118,46792,10326,4.79,41.82,46.83,7907,79.32,31.34,92.73,30844,43.02,22.83,33.98,93.98,57.99,59.84,79.5,3.72,0.192,27.35,2583,88.11,111.11,6146585.44,1209799.95,51.47,2.5,66.87,68.01,57.47,54.16,38.22,3105305.71,58.29,137.24,32.31,30.11,31.57,42.7,34.63,Moderate,Infrastructure_Focused,Increase_Public_Facilities
2533,Henan,Shenzhen,Mountain_Scenic_Area,Labour_Day_Holiday,Pleasant,Lantern_Festival,Tourist_Bus,28438,22601,5837,4.05,34.5,91.86,9559,77.61,88.7,19.11,41198,24.21,16.01,51.05,83.69,52.61,66.87,45.26,4.87,0.841,11.77,44301,52.23,67.94,9806233.33,275291.56,55.88,29.12,91.77,25.31,41.92,68.11,46.21,339458.64,47.96,56.25,48.24,75.26,49.27,48.65,51,Moderate,Accommodation_Focused,Expand_Accommodation_Capacity
2534,Guangxi,Xi_an,Historical_Cultural_City,Autumn,Snowy,Food_Tourism_Festival,Tourist_Bus,35299,32971,2328,1.93,16.25,94.39,11071,31.42,60.45,81.76,34269,32.17,88.07,71.41,68.08,70.22,78.99,63.84,3.5,0.533,35.41,12466,81.71,105.31,3698353.16,8023432.15,23.74,30.42,63.46,45.06,40.05,72.59,95.35,8258718.5,38.18,16.95,96.39,43.32,49.02,50.55,76.3,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
2535,Hainan,Lhasa,Historical_Cultural_City,Spring,Cold,Temple_Fair,Ferry_Service,95280,74607,20673,2.2,53.82,96.05,3589,85.39,50.23,28.32,24497,94.31,25.25,62.3,26.01,93.72,49.42,90.43,2.69,0.351,32.66,14701,66.13,91.95,7589188.01,6629183.84,54.74,30.74,49.48,59.13,90.14,26.68,23.06,4685124.04,40.32,19.31,65.1,52.17,62.1,63.57,62.02,High,Infrastructure_Focused,Increase_Public_Facilities
2536,Sichuan,Xiamen,Historical_Cultural_City,Spring,Humid,Business_Expo,Tourist_Bus,111362,105418,5944,3.8,54.11,68.2,8893,21.77,66.25,75.66,26980,41.49,83.21,78.49,88.17,57.68,38.09,53.2,2.32,0.617,58.78,4915,24.89,111.71,10212666.94,6478708.59,66.82,25.44,26.71,75.21,74.36,43.26,41.81,8800132.44,65.61,7.79,24.5,68.58,68.71,67.45,67.03,High,Public_Facility_Focused,Balanced_Public_Management
2537,Shandong,Guangzhou,Pilgrimage_Tourism_Area,Spring,Pleasant,Dragon_Boat_Event,Airport_Shuttle,76771,70538,6233,1.69,25.92,70.98,6633,56.46,79.91,91.78,27436,91.33,63.79,31.16,45.73,44.41,76.56,92.95,3.24,0.739,48.14,3332,65.1,111.61,6219167.52,5591820.01,40.08,34.23,48.96,29.28,83.92,15.26,67.07,3452566.3,97.68,176.14,22.38,31.75,53.76,61.56,46.45,High,Infrastructure_Focused,Increase_Public_Facilities
2538,Guangdong,Shenzhen,Rural_Tourism_Village,Chinese_New_Year,Pleasant,Business_Expo,Private_Car,81494,60634,20860,1.98,33.27,54.43,1250,40.42,61.37,15.5,27998,91.29,41.73,53.16,68.54,72.26,64.49,32.65,3.74,0.92,33.25,46963,60.98,47.75,11985522.39,6782416.76,98.38,30.05,57.23,73.23,25.76,46.22,51.09,10131685.33,50.64,158.76,28.47,15.74,83.42,60.81,43.15,High,Risk_Control_Allocation,Control_Crowd_Risk
2539,Guizhou,Suzhou,Pilgrimage_Tourism_Area,Labour_Day_Holiday,Cold,Coastal_Leisure_Event,Airport_Shuttle,6218,5194,1024,5.37,31.53,56.56,9382,66.87,51.13,38.03,60214,65.28,64.43,57.51,63.02,98.33,47.02,45.41,4.44,0.347,47.58,34583,38.76,60.08,2754674.62,6008448.63,57.69,4.33,32.38,84.63,61.6,95.22,23.12,4132142.09,95.55,114.93,41.17,51.95,39.27,31.99,49.55,Low,Infrastructure_Focused,Increase_Public_Facilities
